surveyname,varName,DataType,Major categories,pct of the rest,Total,,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2014,Religion,PctByCount,1 + 2,4.2,96.4394993045897,,87.49652295,8.27538248,0.40333797,0.15299026,0.08344924,0.02781641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2014,Religion,Name,,,Total,,Islam,Christianity,No religion,Refuse,Other religion,Buddhism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2014,Religion,PctByCount,,,96.4394993045897,,87.49652295,8.27538248,0.40333797,0.15299026,0.08344924,0.02781641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Kyrgyzstan 2018 Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Ethnicity,Code,,,Total,,1,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Ethnicity,PctByCount,1 +2 +3  ,8.1,96.7777777777778,,70.972222,10.652778,10.305556,4.847222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Ethnicity,Name,,,Total,,Kyrgyz,Russian,Uzbek,Other ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Ethnicity,PctByCount,,,96.7777777777778,,70.972222,10.652778,10.305556,4.847222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Kyrgyzstan 2018 Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Language,Code,,,Total,,1,2,3,6,96,5,7,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Language,PctByCount,Not used,,96.7777777777778,,70.7361111,11.8472222,10.4027778,1.2083333,1.0833333,0.6527778,0.5694444,0.2777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Language,Name,,,Total,,KYRGYZ,RUSSIAN,UZBEK,DUNGAN,OTHER LANGUAGE,TAJIK,UYGUR,KAZAKH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyzstan2018,Language,PctByCount,,,96.7777777777778,,70.7361111,11.8472222,10.4027778,1.2083333,1.0833333,0.6527778,0.5694444,0.2777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Lao 2011 Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Religion,Code,,,Total,,1,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Religion,PctByCount,1 + 2,6.7,100,,57.5350701,35.7765531,6.5881764,0.1002004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Religion,Name,,,Total,,Buddhist,Animist,Other,Missing/DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Religion,PctByCount,,,100,,57.5350701,35.7765531,6.5881764,0.1002004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Lao 2011 Ethnicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Ethnicity,Code,,,Total,,1,4,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Ethnicity,PctByCount,1 + 2 +3,35.1,100,,46.578156,29.298597,11.798597,6.528056,5.796593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Ethnicity,Name,,,Total,,Lao,Other,Khmu,Hmong,Missing/DK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Ethnicity,PctByCount,,,100,,46.578156,29.298597,11.798597,6.528056,5.796593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Lao 2011 Language,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Language,Code,,,Total,,1,2,3,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Language,PctByCount,Not used,,100,,56.798597,25.12024,7.109218,6.142285,4.829659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Language,Name,,,Total,,Lao-Tai,Mon-Khmer,Hmong-Mien,"Other, Missing, DK",Chinese-Tibetan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2011,Language,PctByCount,,,100,,56.798597,25.12024,7.109218,6.142285,4.829659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
---------- tabulation on  Lao 2017 Religion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Religion,Code,,,Total,,1,4,2,6,7,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Religion,PctByCount,1 + 4,6.2,95.6564659427443,,58.12695824,35.65389072,1.51508648,0.25322975,0.07725653,0.01716812,0.01287609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Religion,Name,,,Total,,BUDDHIST,ANIMIST,CHRISTIANITY,OTHER RELIGION,NO RELIGION,ISLAM,NO RESPONSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao2017,Religion,PctByCount,,,95.6564659427443,,58.12695824,35.65389072,1.51508648,0.25322975,0.07725653,0.01716812,0.01287609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
