"SurveyIndicator","IndicatorName","SurveyID","meanY","maxY","minY"
"ARM71+BasicWater","BasicWater","ARM71",0.981776880060384,0.981776880060384,0.981776880060384
"ARM71+BankAccount","BankAccount","ARM71",0.197269430122772,0.197269430122772,0.197269430122772
"ARM71+SexualViolence","SexualViolence","ARM71",0.010283123997187,0.010283123997187,0.010283123997187
"ARM71+ChildMarriage15","ChildMarriage15","ARM71",0.000278132374888,0.000278132374888,0.000278132374888
"ARM71+MultiDeprivation","MultiDeprivation","ARM71",0.379633249829817,0.379633249829817,0.379633249829817
"ARM71+SexualPhysicalViolence","SexualPhysicalViolence","ARM71",0.082081244636647,0.082081244636647,0.082081244636647
"ARM71+SafeSanitation","SafeSanitation","ARM71",0.774550782976277,0.774550782976277,0.774550782976277
"ARM71+AccessElectricity","AccessElectricity","ARM71",0.999637373630559,0.999637373630559,0.999637373630559
"ARM71+HouseholdBasic","HouseholdBasic","ARM71",0.762088805941953,0.762088805941953,0.762088805941953
"ARM71+AllViolence","AllViolence","ARM71",0.140325753571984,0.140325753571984,0.140325753571984
"ARM71+BankCard","BankCard","ARM71",0.379633249829817,0.379633249829817,0.379633249829817
"ARM71+HouseholdTechNeed","HouseholdTechNeed","ARM71",0.963284120699644,0.963284120699644,0.963284120699644
"ARM71+PhysicalViolence","PhysicalViolence","ARM71",0.081721434779714,0.081721434779714,0.081721434779714
"ARM71+CleanFuel","CleanFuel","ARM71",0.967790877722293,0.967790877722293,0.967790877722293
"ARM71+HigherEducation35+","HigherEducation35+","ARM71",0.439792418174116,0.439792418174116,0.439792418174116
"ARM71+NotCrowdedPR","NotCrowdedPR","ARM71",0.697597514907655,0.697597514907655,0.697597514907655
"ARM71+InternetUse","InternetUse","ARM71",0.864622931794346,0.864622931794346,0.864622931794346
"ARM71+ChildMarriage18","ChildMarriage18","ARM71",0.036666343299815,0.036666343299815,0.036666343299815
"ARM71+CleanWater","CleanWater","ARM71",0.9988291971637,0.9988291971637,0.9988291971637
"ARM71+AdolescentBirthRate","AdolescentBirthRate","ARM71",0.095660786655307,0.095660786655307,0.095660786655307
"ARM71+Land","Land","ARM71",0.841588482180753,0.841588482180753,0.841588482180753
"ARM71+SecondaryEducation2035","SecondaryEducation2035","ARM71",0.923626056862155,0.923626056862155,0.923626056862155
"ARM71+EmotionalViolence","EmotionalViolence","ARM71",0.112834950654353,0.112834950654353,0.112834950654353
"ARM71+HigherEducation2535","HigherEducation2535","ARM71",0.506206997500222,0.506206997500222,0.506206997500222
"ARM71+HandWashPR","HandWashPR","ARM71",0.933212462707145,0.933212462707145,0.933212462707145
"ARM71+SecondaryEducation35+","SecondaryEducation35+","ARM71",0.873046702621283,0.873046702621283,0.873046702621283
"ARM71+TeenagePregnancy","TeenagePregnancy","ARM71",0.036052823880249,0.036052823880249,0.036052823880249
"ARM71+ContraceptiveMethod","ContraceptiveMethod","ARM71",0.405605301728701,0.405605301728701,0.405605301728701
"ARM71+SafeSanitationPR","SafeSanitationPR","ARM71",0.766388326482507,0.766388326482507,0.766388326482507
"AZE52+ChildMarriage15","ChildMarriage15","AZE52",0.005784341345924,0.005784341345924,0.005784341345924
"AZE52+SafeSanitation","SafeSanitation","AZE52",0.774145287029349,0.774145287029349,0.774145287029349
"AZE52+SexualPhysicalViolence","SexualPhysicalViolence","AZE52",0.123372492839127,0.123372492839127,0.123372492839127
"AZE52+AllViolence","AllViolence","AZE52",0.137483665579302,0.137483665579302,0.137483665579302
"AZE52+PhysicalViolence","PhysicalViolence","AZE52",0.119667544522793,0.119667544522793,0.119667544522793
"AZE52+HigherEducation35+","HigherEducation35+","AZE52",0.157867849063589,0.157867849063589,0.157867849063589
"AZE52+CleanFuel","CleanFuel","AZE52",0.898093577784188,0.898093577784188,0.898093577784188
"AZE52+ChildMarriage18","ChildMarriage18","AZE52",0.097005800901113,0.097005800901113,0.097005800901113
"AZE52+MobilePhone","MobilePhone","AZE52",0.551451307626359,0.551451307626359,0.551451307626359
"AZE52+EmotionalViolence","EmotionalViolence","AZE52",0.063411781935587,0.063411781935587,0.063411781935587
"AZE52+HigherEducation2535","HigherEducation2535","AZE52",0.173487471603026,0.173487471603026,0.173487471603026
"AZE52+MobilePhonePR","MobilePhonePR","AZE52",0.570713528937245,0.570713528937245,0.570713528937245
"AZE52+SexualViolence","SexualViolence","AZE52",0.023489469072782,0.023489469072782,0.023489469072782
"AZE52+MultiDeprivation","MultiDeprivation","AZE52",0.015383428701521,0.015383428701521,0.015383428701521
"AZE52+TeenagePregnancy","TeenagePregnancy","AZE52",0.063042305416956,0.063042305416956,0.063042305416956
"AZE52+BankCard","BankCard","AZE52",0.015383428701521,0.015383428701521,0.015383428701521
"AZE52+BasicWater","BasicWater","AZE52",0.742991874194284,0.742991874194284,0.742991874194284
"AZE52+ProfessionalHelp","ProfessionalHelp","AZE52",0.898846690466048,0.898846690466048,0.898846690466048
