"SurveyIndicator","IndicatorName.x","SurveyID","meanY","maxY","minY","Source","dataOrlando","surveyID","country_code","version_code","dataset","IndicatorName.y","MeanY","dataValidation","IndicatorName","diffY"
"ARM71+AllViolence","AllViolence","ARM71","0.140325753571984","0.140325753571984","0.140325753571984","DHS",1,"ARM71","AM","71","IR","AllViolence","0.139694635199383",1,"AllViolence",0.000631118372601019
"ARM71+BankAccount","BankAccount","ARM71","0.197269430122772","0.197269430122772","0.197269430122772","DHS",1,"ARM71","AM","71","IR","BankAccount","0.197269430122772",1,"BankAccount",0
"ARM71+BasicWater","BasicWater","ARM71","0.981776880060384","0.981776880060384","0.981776880060384","DHS",1,"ARM71","AM","71","HR","BasicWater","0.981776880060384",1,"BasicWater",0
"ARM71+CleanFuel","CleanFuel","ARM71","0.967790877722293","0.967790877722293","0.967790877722293","DHS",1,"ARM71","AM","71","HR","CleanFuel","0.967790877722293",1,"CleanFuel",0
"ARM71+ContraceptiveMethod","ContraceptiveMethod","ARM71","0.405605301728701","0.405605301728701","0.405605301728701","DHS",1,"ARM71","AM","71","IR","ContraceptiveMethod","0.405605301728701",1,"ContraceptiveMethod",0
"ARM71+Covid","Covid","ARM71","0.510840702916393","0.510840702916393","0.510840702916393","DHS",1,"ARM71","AM","71","PR","Covid","0.510840702916393",1,"Covid",0
"ARM71+EmotionalViolence","EmotionalViolence","ARM71","0.112834950654353","0.112834950654353","0.112834950654353","DHS",1,"ARM71","AM","71","IR","EmotionalViolence","0.113708512140654",1,"EmotionalViolence",0.000873561486300994
"ARM71+HandWashPR","HandWashPR","ARM71","0.933212462707145","0.933212462707145","0.933212462707145","DHS",1,"ARM71","AM","71","PR","HandWashPR","0.933212462707145",1,"HandWashPR",0
"ARM71+HigherEducation2535","HigherEducation2535","ARM71","0.506206997500222","0.506206997500222","0.506206997500222","DHS",1,"ARM71","AM","71","PR","HigherEducation2535","0.506876407374127",1,"HigherEducation2535",0.000669409873904958
"ARM71+HigherEducation35plus","HigherEducation35plus","ARM71","0.439792418174116","0.439792418174116","0.439792418174116","DHS",1,"ARM71","AM","71","PR","HigherEducation35plus","0.439330322670811",1,"HigherEducation35plus",0.000462095503305004
"ARM71+InternetUse","InternetUse","ARM71","0.864622931794346","0.864622931794346","0.864622931794346","DHS",1,"ARM71","AM","71","IR","InternetUse","0.864622931794346",1,"InternetUse",0
"ARM71+LearningPR","LearningPR","ARM71","0.999779540171297","0.999779540171297","0.999779540171297","DHS",1,"ARM71","AM","71","PR","LearningPR","0.999779540171297",1,"LearningPR",0
"ARM71+MobilePhone","MobilePhone","ARM71","0.970243596478955","0.97372333436861","0.963284120699644","DHS",1,"ARM71","AM","71","IR","MobilePhone","0.967414450193079",1,"MobilePhone",0.00282914628587594
"ARM71+NotCrowdedPR","NotCrowdedPR","ARM71","0.697597514907655","0.697597514907655","0.697597514907655","DHS",1,"ARM71","AM","71","PR","NotCrowdedPR","0.697597514907655",1,"NotCrowdedPR",0
"ARM71+NotOverweight","NotOverweight","ARM71","0.861773737773038","0.861773737773038","0.861773737773038","DHS",1,"ARM71","AM","71","PR","NotOverweight","0.861773737773038",1,"NotOverweight",0
